Price;Strike;Expiry
257.982624475129;2531;12
198.385754017585;2593;12
140.844556090285;2657;12
89.0806044369021;2722;12
48.0406619177175;2788;12
21.3141985100416;2857;12
7.89714119314495;2927;12
2.77685230121907;2998;12
1.15563844868708;3072;12
330.038456609231;2462;26
256.96151864186;2540;26
186.48055965754;2620;26
122.562989754826;2703;26
70.4751772165266;2788;26
34.6587802587108;2877;26
14.9079768146981;2968;26
6.03320959001499;3061;26
2.50249396206716;3158;26
514.348453862603;2289;89
409.552569042588;2404;89
306.569896689248;2526;89
210.286212891375;2654;89
128.527362567945;2788;89
69.9648779976727;2930;89
35.4732129564538;3078;89
17.3485951924267;3234;89
8.25725876067143;3397;89
615.586752719129;2206;180
499.935563999093;2339;180
385.470781079391;2480;180
277.205865495996;2630;180
183.150285995525;2788;180
112.00035592746;2956;180
65.5032390273964;3135;180
37.5420128494798;3324;180
21.2907055595644;3524;180
720.888486322722;2138;362
600.679186912082;2285;362
481.556213137382;2442;362
368.189509081698;2609;362
267.077984750559;2788;362
184.703599805853;2980;362
123.649592195858;3184;362
81.4227141777323;3403;362
53.3506795310579;3637;362
