Date,Open,High,Low,Close,Adj Close,Volume
2021-02-22,24.459999,25.090000,21.959999,23.450001,23.450001,0
2021-02-23,22.820000,27.010000,22.500000,23.110001,23.110001,0
2021-02-24,23.760000,25.040001,21.309999,21.340000,21.340000,0
2021-02-25,21.730000,31.160000,21.520000,28.889999,28.889999,0
2021-02-26,28.730000,30.820000,25.230000,27.950001,27.950001,0
2021-03-01,25.200001,25.389999,23.170000,23.350000,23.350000,0
2021-03-02,23.580000,24.600000,22.799999,24.100000,24.100000,0
2021-03-03,22.799999,26.790001,22.450001,26.670000,26.670000,0
2021-03-04,26.520000,31.900000,24.930000,28.570000,28.570000,0
2021-03-05,29.480000,30.030001,24.330000,24.660000,24.660000,0
2021-03-08,27.610001,28.389999,24.070000,25.469999,25.469999,0
2021-03-09,25.110001,25.250000,22.900000,24.030001,24.030001,0
2021-03-10,23.760000,23.870001,22.379999,22.559999,22.559999,0
2021-03-11,22.500000,22.500000,21.450001,21.910000,21.910000,0
2021-03-12,22.570000,22.990000,20.629999,20.690001,20.690001,0
2021-03-15,21.840000,21.860001,19.870001,20.030001,20.030001,0
2021-03-16,20.139999,20.309999,19.330000,19.790001,19.790001,0
2021-03-17,20.100000,20.950001,19.180000,19.230000,19.230000,0
2021-03-18,18.950001,22.600000,18.950001,21.580000,21.580000,0
2021-03-19,21.430000,23.170000,19.900000,20.950001,20.950001,0
2021-03-22,21.910000,22.290001,18.870001,18.879999,18.879999,0
2021-03-23,19.459999,21.580000,18.799999,20.299999,20.299999,0
2021-03-24,20.639999,21.490000,19.299999,21.200001,21.200001,0
2021-03-25,20.799999,23.549999,19.809999,19.809999,19.809999,0
2021-03-26,19.320000,21.490000,18.680000,18.860001,18.860001,0
2021-03-29,20.400000,21.600000,19.420000,20.740000,20.740000,0
2021-03-30,20.760000,21.750000,19.469999,19.610001,19.610001,0
2021-03-31,19.799999,20.110001,18.850000,19.400000,19.400000,0
2021-04-01,18.600000,18.639999,17.290001,17.330000,17.330000,0
2021-04-05,18.160000,18.400000,17.350000,17.910000,17.910000,0
2021-04-06,18.070000,18.299999,17.370001,18.120001,18.120001,0
2021-04-07,17.990000,18.170000,16.870001,17.160000,17.160000,0
2021-04-08,16.920000,17.360001,16.549999,16.950001,16.950001,0
2021-04-09,17.049999,17.340000,16.200001,16.690001,16.690001,0
2021-04-12,17.430000,17.910000,16.809999,16.910000,16.910000,0
2021-04-13,16.990000,17.860001,16.430000,16.650000,16.650000,0
2021-04-14,16.709999,17.690001,15.380000,16.990000,16.990000,0
2021-04-15,16.780001,16.920000,15.940000,16.570000,16.570000,0
2021-04-16,16.650000,16.879999,16.049999,16.250000,16.250000,0
2021-04-19,17.040001,18.610001,16.780001,17.290001,17.290001,0
2021-04-20,17.360001,19.700001,17.240000,18.680000,18.680000,0
2021-04-21,18.480000,19.290001,16.910000,17.500000,17.500000,0
2021-04-22,17.280001,19.900000,16.990000,18.709999,18.709999,0
2021-04-23,18.559999,18.780001,16.799999,17.330000,17.330000,0
2021-04-26,17.940001,18.170000,16.870001,17.639999,17.639999,0
2021-04-27,17.620001,18.160000,16.969999,17.559999,17.559999,0
2021-04-28,17.469999,17.840000,16.670000,17.280001,17.280001,0
2021-04-29,16.879999,18.870001,16.770000,17.610001,17.610001,0
2021-04-30,17.670000,19.250000,17.639999,18.610001,18.610001,0
2021-05-03,18.650000,19.120001,17.799999,18.309999,18.309999,0
2021-05-04,18.160000,21.850000,18.110001,19.480000,19.480000,0
2021-05-05,18.840000,19.580000,17.889999,19.150000,19.150000,0
2021-05-06,18.410000,20.600000,18.209999,18.389999,18.389999,0
2021-05-07,18.450001,18.570000,16.680000,16.690001,16.690001,0
2021-05-10,17.340000,19.750000,17.070000,19.660000,19.660000,0
2021-05-11,21.170000,23.730000,20.709999,21.840000,21.840000,0
2021-05-12,22.420000,28.379999,21.660000,27.590000,27.590000,0
2021-05-13,26.030001,28.930000,22.230000,23.129999,23.129999,0
2021-05-14,21.770000,22.100000,18.660000,18.809999,18.809999,0
2021-05-17,19.889999,21.580000,19.670000,19.719999,19.719999,0
2021-05-18,18.889999,21.450001,18.809999,21.340000,21.340000,0
2021-05-19,22.459999,25.959999,21.879999,22.180000,22.180000,0
2021-05-20,22.330000,23.500000,20.190001,20.670000,20.670000,0
2021-05-21,20.420000,20.889999,19.530001,20.150000,20.150000,0
2021-05-24,20.500000,20.510000,18.379999,18.400000,18.400000,0
2021-05-25,18.350000,19.290001,16.870001,18.840000,18.840000,0
2021-05-26,18.370001,18.920000,17.350000,17.360001,17.360001,0
2021-05-27,18.030001,18.170000,16.520000,16.740000,16.740000,0
2021-05-28,16.799999,16.860001,15.900000,16.760000,16.760000,0
2021-06-01,17.240000,18.530001,15.680000,17.900000,17.900000,0
2021-06-02,17.860001,18.309999,16.740000,17.480000,17.480000,0
2021-06-03,17.730000,19.270000,17.450001,18.040001,18.040001,0
2021-06-04,18.090000,18.420000,16.180000,16.420000,16.420000,0
2021-06-07,17.340000,17.350000,15.780000,16.420000,16.420000,0
2021-06-08,16.580000,17.750000,15.150000,17.070000,17.070000,0
2021-06-09,17.180000,17.959999,15.550000,17.889999,17.889999,0
2021-06-10,18.180000,18.290001,16.010000,16.100000,16.100000,0
2021-06-11,16.180000,16.200001,15.150000,15.650000,15.650000,0
2021-06-14,16.040001,17.040001,15.040000,16.389999,16.389999,0
2021-06-15,16.270000,17.350000,16.139999,17.020000,17.020000,0
2021-06-16,16.990000,19.110001,16.420000,18.150000,18.150000,0
2021-06-17,18.490000,19.219999,16.709999,17.750000,17.750000,0
2021-06-18,16.959999,21.040001,16.920000,20.700001,20.700001,0
2021-06-21,21.740000,21.820000,17.809999,17.889999,17.889999,0
2021-06-22,17.910000,18.320000,15.760000,16.660000,16.660000,0
2021-06-23,16.250000,16.840000,14.860000,16.320000,16.320000,0
2021-06-24,15.990000,16.049999,14.190000,15.970000,15.970000,0
2021-06-25,16.040001,16.170000,15.210000,15.620000,15.620000,0
2021-06-28,16.070000,16.459999,15.390000,15.760000,15.760000,0
2021-06-29,15.690000,16.309999,14.100000,16.020000,16.020000,0
2021-06-30,16.180000,17.309999,15.580000,15.830000,15.830000,0
