Strike;Price;Expiry;IV;Moneyness;impVol
3730;507,450;10;0,454534263305664;-0,126701149018398962;0,406860000000266
3780;459,050;10;0,432363464508057;-0,113385373042626830;0,400920000000260
3800;439,250;10;0,419714054870605;-0,108108315941783079;0,389060000000248
3890;354,400;10;0,388525401916504;-0,084700225043768146;0,377160000000236
3900;345,000;10;0,386679106903076;-0,082132829538522328;0,374040000000233
3930;317,800;10;0,376913579559326;-0,074469956792953207;0,370670000000230
3950;299,000;10;0,365133912200928;-0,069393803761092582;0,361260000000221
3970;281,150;10;0,361181925354004;-0,064343287975024047;0,357290000000217
3990;264,050;10;0,357855542602539;-0,059318151772351009;0,356190000000215
4005;251,000;10;0,352110665969849;-0,055565802153800560;0,352600000000212
4015;242,100;10;0,348746136627197;-0,053072035275398111;0,348530000000208
4025;233,450;10;0,344031217956543;-0,050584471803596411;0,345480000000205
4040;221,000;10;0,340483584976196;-0,046864690701064408;0,342840000000202
4050;212,700;10;0,337737030410767;-0,044392501555675340;0,340440000000200
4055;208,700;10;0,336440046310425;-0,043158695106746872;0,339800000000199
4080;189,200;10;0,332610128555298;-0,037012394258052791;0,336830000000196
4095;177,400;10;0,328429262161255;-0,033342665369090377;0,332960000000192
4100;173,800;10;0,327353528289795;-0,032122408963861010;0,332860000000192
4110;166,550;10;0,327612925109863;-0,029686354165979891;0,331970000000191
4115;162,850;10;0,326140466690063;-0,028470548545089999;0,330990000000190
4120;158,750;10;0,322997187576294;-0,027256219312688113;0,328230000000187
4130;150,500;10;0,313384246597290;-0,024831975701181747;0,322200000000181
4145;140,400;10;0,317107353897095;-0,021206594086864844;0,321290000000181
4155;133,400;10;0,312400064544678;-0,018796954366711627;0,318880000000178
4160;129,000;10;0,304427426986694;-0,017594308400951230;0,314020000000173
4165;125,700;10;0,303626348571777;-0,016393107055317133;0,313250000000173
4175;118,950;10;0,300170267410278;-0,013995024371304343;0,310670000000170
4185;112,450;10;0,295821556015015;-0,011602678732684509;0,308410000000168
4200;102,800;10;0,291587284393310;-0,008024857384800533;0,304240000000163
4210;97,350;10;0,291701724166870;-0,005646734979833108;0,304220000000163
4215;94,600;10;0,291171486549377;-0,004459791220304380;0,303870000000163
4220;90,950;10;0,287749737319946;-0,003274254626202723;0,300120000000159
4230;85,050;10;0,284888742980957;-0,000907389615936562;0,297170000000156
4235;82,400;10;0,284415725250244;0,000273945429894551;0,296510000000156
4245;76,250;10;0,279571108169556;0,002632437089187472;0,291650000000151
4255;71,500;10;0,278838693618774;0,004985379351214288;0,291090000000150
4260;68,150;10;0,275138474273682;0,006159777607155883;0,287040000000146
4270;63,300;10;0,273032782440186;0,008504444566410013;0,285050000000144
4275;61,100;10;0,272590281982422;0,009674719714600365;0,284590000000144
4280;58,350;10;0,270225193328857;0,010843626919582247;0,281940000000141
4285;55,300;10;0,266273206481934;0,012011169375619935;0,277990000000137
4295;51,250;10;0,265502645339966;0,014342172762095514;0,277010000000136
4300;48,500;10;0,261989344291687;0,015505640025393558;0,273520000000133
4305;45,700;10;0,258239534378052;0,016667755205570942;0,269590000000129
4320;40,700;10;0,258163241195679;0,020146019581895758;0,269530000000129
4325;38,900;10;0,257285869598389;0,021302757709719455;0,268600000000128
4330;36,900;10;0,255439574584961;0,022458159340275289;0,266670000000126
4335;35,100;10;0,254150219802856;0,023612227558381986;0,265320000000125
4340;33,300;10;0,252647244110107;0,024764965438190300;0,263740000000123
4345;31,700;10;0,251724096603394;0,025916376043232169;0,262760000000122
4350;29,900;10;0,249770991134644;0,027066462426469533;0,260710000000120
4355;28,500;10;0,249236938858032;0,028215227630342923;0,260150000000119
4360;26,850;10;0,247238057479858;0,029362674686819756;0,258260000000118
4365;25,550;10;0,247146505661011;0,030508806617442329;0,257710000000117
4370;24,250;10;0,245986849288940;0,031653626433375583;0,256940000000116
4375;22,750;10;0,244140554275513;0,032797137135454554;0,255000000000114
4380;21,400;10;0,242958009948730;0,033939341714231561;0,253510000000113
4385;20,000;10;0,241065939025879;0,035080243150023158;0,251500000000111
4395;18,050;10;0,240432705612183;0,037358148463017118;0,251060000000110
4400;16,950;10;0,239303566513061;0,038495158250092275;0,249860000000109
4405;16,100;10;0,239509558105469;0,039630876714019624;0,249790000000109
4410;14,950;10;0,237373348999023;0,040765306784631417;0,247800000000107
4415;13,900;10;0,235481278076172;0,041898451381800129;0,246090000000105
4420;12,950;10;0,234443690795898;0,043030313415483544;0,244680000000104
4435;10,800;10;0,232963603057861;0,046418233087419596;0,243390000000103
4440;10,150;10;0,232902568511963;0,047544993770010174;0,242960000000102
4450;8,800;10;0,230781618041992;0,049794713504025839;0,241030000000100
4455;8,300;10;0,230796876678467;0,050917678248649623;0,241030000000100
4465;7,300;10;0,230262824401855;0,053159831654339358;0,240420000000100
4470;6,750;10;0,229682996215820;0,054279025951354455;0,239330000000099
4480;5,700;10;0,226844889831543;0,056513663752770775;0,236720000000096
4485;5,300;10;0,226402389373779;0,057629112836636423;0,236210000000095
4495;4,600;10;0,225853078460693;0,059856285249460579;0,235550000000095
